Pixel,Height,Wavelength
-58.5,34.50433803,
3,418.697006,4657.9
11,203.992988,
22,165.9299738,
32,103.6919456,
39,324.7470926,
54.5,371.1088107,
57,437.6949069,
64,186.6343074,
87,1090.844114,4764.87
132,223.8223289,
139,206.9574021,
152,304.7053372,4847.81
165,257.9876755,
177,930.7087477,4879.86
208.5,284.5922442,
228.5,138.499186,
244,345.9132383,4965.08
264.5,97.73802607,
294.5,152.6435004,
303,370.3081593,
363,174.6850145,
397.5,452.5028321,
410,192.832996,
425.5,210.2334014,
430,343.6001671,
439.5,377.3652081,
455.5,496.2087017,
477.5,236.4581421,
484,92.44995473,
520.5,342.4062605,
545.5,292.1800787,
580.5,105.3286862,
597.5,101.3616122,
671.5,377.4743653,
680,104.940126,
704,415.5875287,5539.26
719.5,473.0033679,
731,474.0229787,
736.5,147.6667596,
743,637.5860133,
749.5,177.9265431,
766,249.2962833,
786,163.4381187,
841,104.228667,
851.5,1365.366858,5720.18
856,169.0001967,
875.5,143.4672166,
885,2264.978768,5760.55
921,674.4513736,5804.14
1032,331.244149,
1061.5,920.4866601,5973.66
1110,726.0583,6021.03
1156.5,148.5067327,
1166,98.75783097,
1179,317.9553378,6114.92
1210.5,310.3227357,
1221,205.0152283,
1225.5,762.5621699,6169.82
1236,1591.477313,6182.62
1241,165.3407295,
1244,168.2574761,
1254,585.3669873,
1257,352.6638829,
1302.5,294.8738376,6261.41
1313.5,91.40835081,
1342,64.42361073,
1358.5,256.8662202,6327.27
1372,363.4483239,6342.86
1401,141.6515519,
1407.5,129.0950193,
1431,382.7997613,
1434.5,613.649379,6416.3
1469.5,1242.885875,
1474,123.7780825,6457.28
1533,573.380824,6531.34
1553,139.1609951,6554.16
1573,178.0125404,
1578.5,1076.242458,
1585,902.2108584,
1646.5,494.4091665,6662.27
1659.5,788.3067432,6677.28
1665.5,79.44600165,
1726,1138.331454,6752.83
1749.5,196.147703,6778.31
1792.5,56.47113723,
1830,720.640124,
1865.5,294.4270054,6911.23
1914,691.5400792,
2005.5,125.7409586,
