Pixel,PeakHeight,Wavelength,
-31.75,-15.39243032,,
-18.25,-32.46015326,,
55.25,308.8376489,6871.29,
65.25,-3.475622584,,
79.25,672.4123768,6911.23,
94.75,447.7070736,,
98.5,354.1484595,,
111.5,47011.59215,6965.43,
114.75,69.34285807,,
115.75,-6.587537338,,
125.75,1040.513763,,
132.5,171.5145561,,
142.75,311.2610275,,
149.75,1557.203848,7030.25,
167.75,249.7102996,,
171.75,47509.0125,,
174.75,417.9999769,,
175.75,147.1125077,,
176.75,67.82616693,,
181.75,434.1680485,,
195.75,236.3364629,,
206.25,579.3149323,,
209.75,-2.985292655,,
219.25,7702.454081,,
222.75,60.39619074,7147.04,
226.25,201.2150037,,
232.25,1649.41707,,
255.25,1513.27747,,
294.25,21150.70406,,
297.75,19.37818656,,
298.75,-11.51893415,,
301.25,264.6252551,,
317.25,570.9545751,7311.72,
320,350.526398,,
327.25,155.1355736,,
335,119.2553252,,
342.25,1217.539726,7353.29,
353.25,3307.822363,,
356.25,166.3741115,,
360.25,60121.67576,,
361,60244.01176,,
364.25,339.747934,,
377.25,219.4503047,,
381.25,59.44927934,,
387.5,508.907302,,
391.25,859.471858,7435.37,
413,266.6392556,,
420.25,472.2183764,,
425.75,106.0654881,,
426.75,148.6465783,,
427.75,266.1134249,,
428.75,686.250541,,
431.5,61065.48751,,
432.75,61038.08433,,
433.5,59934.36858,,
435.25,2185.380914,,
438.75,60895.77966,,
439.5,60311.27133,,
442.25,648.960512,,
443.25,382.9349998,,
445.25,328.0031548,,
459.5,144.7600231,,
470.75,447.5888284,7567.74,
505.75,496.9283716,,
506.75,850.8445436,,
507.75,1949.709812,,
510,61296.15885,,
510.75,61247.84057,,
511.75,61510.11662,,
512.5,61544.24017,,
515.25,768.0449032,,
516.25,474.6282964,,
522,278.6989328,,
537,93.64669173,,
556.75,132.808776,,
558.75,96.81176171,,
559.75,153.1594162,,
560.75,334.8531185,,
564,61581.80066,,
565,61034.23017,,
575.75,88.49451207,,
610,196.3085287,,
621.5,610.6749738,7817.77,
636,135.7339405,,
639.5,735.6819251,7847.54,
651.5,206.7941407,,
666,732.9930475,7891.08,
671.5,80.18203206,,
695.75,167.9314695,,
696.75,324.3313329,,
700,60561.82712,,
701.25,60718.31779,,
704.25,466.1060521,,
705.25,277.5337895,,
706.25,181.4214553,,
707.25,133.4068271,,
708.25,117.8276605,,
719.25,1551.027555,7978.97,
725.25,95.03929727,,
730.75,131.5432487,,
731.75,241.0526804,,
732.75,615.8552847,,
735.5,60711.26915,,
736.25,61146.60978,,
737,59250.40029,,
740.5,61459.59199,,
741.5,61101.50592,,
742.5,60086.77918,,
744.25,1257.555936,,
745.25,633.4653282,,
746.25,430.9004426,,
747.25,322.3585605,,
752,459.1023763,,
765,514.5424552,8053.31,
771.25,69.35865658,,
784.25,163.8709539,,
789.75,498.1864742,,
790.75,480.9917173,,
791.75,723.9036979,,
795.5,61101.23421,,
796.75,61267.45002,,
801.25,61003.9654,,
802.25,60967.99258,,
803.25,61082.97569,,
804.25,61436.56846,,
806.75,1485.252294,,
807.75,908.3992188,,
810.75,505.7279741,,
814.75,278.5762101,,
816.75,398.9845222,,
819.75,811.0083039,,
830,323.9848937, ,8143.14
846.75,671.9306662,8186.91,
851.25,-8.263507405,,
852.25,-11.57420534,,
856.75,52.12938999,,
889.75,245.3211241,,
890.75,434.7324895,,
894.5,61195.05621,,
895.25,60146.77142,,
897.75,564.4386869,,
898.75,284.6747771,,
929.25,387.3426005,,
935.25,1219.033013,8330.45,
956.5,113.6984645,,
964.5,206.0280542,,
968,559.8311681,,
973.5,232.1488904,,
976.5,389.3467572,,
982.25,60582.31016,,
983,60912.02562,,
984.25,61042.09255,,
988.75,2338.353069,,
992.25,60596.05421,,
993,61025.70952,,
993.75,60973.49718,,
994.75,60988.91311,,
997.25,1095.266252,,
1000.25,1928.992058,,
1007,1214.378136,,
1018.25,111.060225,,
1027,1003.983691,8478.36,
1034.25,80.72292223,,
1047.25,137.0718277,,
1048.25,149.9948757,,
1049.25,249.219013,,
1053.75,60901.36226,,
1054.5,60249.12465,,
1065.25,121.5738316,,
1106.25,902.8672696,,
1115.5,537.3641575,,
1145.25,39374.92681,8667.94,
1171.25,146.5066628,,
1195.75,373.4417363,,
1227.75,225.2122777,,
1260,289.2034067,,
1272,205.5123269,,
1287.25,27.15114368,,
1334.75,976.0118657,8967.64,
1366.25,99.33226242,,
1386.25,1164.418585,,
1403,363.8084224,,
1432.5,61639.23612,,
1433.5,61821.1037,,
1434.5,61451.04704,,
1435.25,62085.36606,,
1480.25,3613.978623,9194.64,
1486.25,1639.739375,,
1498.75,60093.51399,,
1499.75,60972.53979,,
1526.5,468.6574905,,
1533,205.9997346,,
1542.75,2041.1652,9291.53,
1583.75,13711.86308,9354.22,
1613,1702.178208,,
1652.75,532.8440809,,
1676.75,913.5031037,,
1745,14.18530621,,
1770.5,306.2555492,,
1784,59733.5053,,
1795.25,359.9239269,,
1812,199.2529346,,
1842.5,428.8875986,,
1868,16950.16632,9784.5,
1874.5,23.23279379,,
1896.5,208.9402533,,
1900.75,304.4832898,,
