prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-ARC,FAST,1.A.Green,2026-04-07,10,878.0,885.5,4.044,6.147
CAL.R-ARC,FAST,1.A.Green,2026-05-02,11,879.0,886.0,3.368,5.003
CAL.R-ARC,FAST,1.A.Green,2026-06-30,9,882.0,890.0,4.966,7.675
CAL.R-ARC,FAST,1.A.Red,2026-04-07,10,1757.5,1767.0,164.747,556.196
CAL.R-ARC,FAST,1.A.Red,2026-05-02,11,1759.0,1767.0,138.421,472.349
CAL.R-ARC,FAST,1.A.Red,2026-06-30,9,1766.0,1777.0,189.477,662.916
CAL.R-ARC,FAST,1.B.Blue,2026-04-07,10,1227.0,1233.0,4.19,8.738
CAL.R-ARC,FAST,1.B.Blue,2026-05-02,11,1227.0,1232.0,3.529,7.501
CAL.R-ARC,FAST,1.B.Blue,2026-06-30,9,1231.0,1237.0,5.112,10.411
CAL.R-ARC,FAST,1.B.Green,2026-04-07,10,1043.5,1054.5,5.966,8.631
CAL.R-ARC,FAST,1.B.Green,2026-05-02,11,1043.0,1053.0,5.105,7.331
CAL.R-ARC,FAST,1.B.Green,2026-06-30,9,1044.0,1056.0,7.229,10.217
CAL.R-ARC,FAST,1.B.Red,2026-04-07,10,1566.0,1581.0,155.669,783.498
CAL.R-ARC,FAST,1.B.Red,2026-05-02,11,1569.0,1582.0,140.333,692.67
CAL.R-ARC,FAST,1.B.Red,2026-06-30,9,1579.0,1596.0,173.352,894.9
CAL.R-ARC,FAST,2.A.Blue,2026-04-07,10,808.0,815.5,5.09,9.516
CAL.R-ARC,FAST,2.A.Blue,2026-05-02,11,812.0,819.0,4.188,7.723
CAL.R-ARC,FAST,2.A.Blue,2026-06-30,9,817.0,825.0,6.129,11.637
CAL.R-ARC,FAST,2.A.Green,2026-04-07,10,864.0,873.5,6.132,7.347
CAL.R-ARC,FAST,2.A.Green,2026-05-02,11,862.0,870.0,5.114,5.961
CAL.R-ARC,FAST,2.A.Green,2026-06-30,9,859.0,869.0,7.123,9.002
CAL.R-ARC,FAST,2.A.Red,2026-04-07,10,835.0,847.5,287.397,750.839
CAL.R-ARC,FAST,2.A.Red,2026-05-02,11,836.0,847.0,269.122,634.007
CAL.R-ARC,FAST,2.A.Red,2026-06-30,9,844.0,859.0,347.923,885.787
CAL.R-ARC,FAST,2.B.Blue,2026-04-07,10,1431.0,1436.0,5.126,9.048
CAL.R-ARC,FAST,2.B.Blue,2026-05-02,11,1430.0,1436.0,4.3,7.664
CAL.R-ARC,FAST,2.B.Blue,2026-06-30,9,1434.0,1440.0,6.078,10.742
